type,countryName,countryCode,mcc,mnc,brand,operator,status,bands,notes
National,Vietnam,VN,452,07,Gmobile,GTEL Mobile JSC,Operational,GSM 1800,Former Beeline
National,Vietnam,VN,452,08,I-Telecom,Indochina Telecom,Operational,WiMAX,Former EVNTelecom
National,Yemen,YE,421,01,SabaFon,,Operational,GSM 900,
National,Yemen,YE,421,02,MTN,Spacetel Yemen,Operational,GSM 900,
National,Yemen,YE,421,03,Yemen Mobile,Yemen Mobile,Operational,CDMA2000 800,
National,Yemen,YE,421,04,HiTS-UNITEL,Y,Operational,GSM 900,
National,American Samoa (United States of America),AS,311,780,ASTCA,American Samoa Telecommunications,Operational,LTE 700,Uses United States MCC
National,American Samoa (United States of America),AS,544,11,Bluesky,Bluesky,Operational,GSM 850 / GSM 1900 / UMTS 850 / LTE 700 / LTE 1700,
National,Australia,AU,505,01,Telstra,Telstra Corporation Limited,Operational,UMTS 850 / LTE 700 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,LTE bands 28 / 8 / 3 / 1 / 7; GSM shut down 1 December 2016; UMTS 2100 shut down 25 March 2019
National,Australia,AU,505,02,Optus,Singtel Optus Proprietary Limited,Operational,UMTS 900 / UMTS 2100 / LTE 700 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 2300 / 5G 3500,LTE bands 28 / 3 / 1 / 7; GSM shut down 1 August 2017
National,Australia,AU,505,03,Vodafone,Vodafone Hutchison Australia Proprietary Limited,Operational,UMTS 900 / UMTS 2100 / LTE 850 / LTE 1800 / LTE 2100,LTE bands 5 / 3 / 1; GSM shut down 30 April 2018
National,Australia,AU,505,04,,Department of Defence,Operational,Unknown,Private network
National,Australia,AU,505,05,Ozitel,,Not operational,,Brand was taken over by Telstra.
National,Australia,AU,505,06,3,Vodafone Hutchison Australia Proprietary Limited,Not operational,UMTS 2100,Vodafone Hutchison Australia and Telstra ended their network sharing agreement on 31 August 2012. The 3TELSTRA network was shut down on this date.
National,Australia,AU,505,07,Vodafone,Vodafone Network Pty. Ltd.,Unknown,Unknown,
National,Australia,AU,505,08,One.Tel,One.Tel Limited,Not operational,GSM 900,Brand was dissolved.
National,Australia,AU,505,09,Airnet,,Not operational,,No longer provide mobile services.
National,Australia,AU,505,10,Norfolk Is.,Norfolk Telecom,Operational,GSM 900,
National,Australia,AU,505,11,Telstra,Telstra Corporation Ltd.,Unknown,Unknown,
National,Australia,AU,505,12,3,Vodafone Hutchison Australia Proprietary Limited,Not operational,UMTS 2100,See MNC 06
National,Australia,AU,505,13,RailCorp,"Railcorp, Transport for New South Wales",Operational,GSM-R 1800,For use by Sydney Trains Digital Train Radio System
National,Australia,AU,505,14,AAPT,TPG Telecom,Operational,MVNO,Wholesale from Vodafone Hutchison Australia
National,Australia,AU,505,15,3GIS,,Not operational,,Taken over by Vodafone.
National,Australia,AU,505,16,VicTrack,Victorian Rail Track,Operational,GSM-R 1800,Digital Train Radio System
National,Australia,AU,505,17,,Optus,Operational,TD-LTE 2300,Former Vivid Wireless Pty. Ltd.
National,Australia,AU,505,18,Pactel,Pactel International Pty Ltd,Unknown,,
National,Australia,AU,505,19,Lycamobile,Lycamobile Pty Ltd,Operational,MVNO,
National,Australia,AU,505,20,,Ausgrid Corporation,Unknown,Unknown,
National,Australia,AU,505,21,,Queensland Rail Limited,Unknown,GSM-R 1800,
National,Australia,AU,505,22,,iiNet Ltd,Unknown,Unknown,
National,Australia,AU,505,23,,Challenge Networks Pty Ltd,Operational,LTE 1800 / LTE 2100,"Private networks, primarily for mining industry"
National,Australia,AU,505,24,,Advanced Communications Technologies Pty. Ltd.,Unknown,Unknown,
National,Australia,AU,505,25,,Pilbara Iron Company Services Pty Ltd,Unknown,Unknown,
National,Australia,AU,505,26,,Dialogue Communications Pty. Ltd.,Unknown,Unknown,
National,Australia,AU,505,27,,Nexium Telecommunications,Unknown,Unknown,
National,Australia,AU,505,28,,RCOM International Pty Ltd,Unknown,Unknown,
National,Australia,AU,505,30,,Compatel Limited,Unknown,Unknown,
National,Australia,AU,505,31,,BHP Billiton,Unknown,Unknown,
National,Australia,AU,505,32,,Thales Australia,Unknown,Unknown,
National,Australia,AU,505,33,,CLX Networks Pty Ltd,Unknown,Unknown,
National,Australia,AU,505,34,,Santos Limited,Unknown,Unknown,
National,Australia,AU,505,35,,MessageBird Pty Ltd,Unknown,Unknown,
National,Australia,AU,505,36,Optus,Optus Mobile Pty. Ltd.,Unknown,Unknown,
National,Australia,AU,505,37,,Yancoal Australia Ltd,Unknown,Unknown,
National,Australia,AU,505,38,Truphone,Truphone Pty Ltd,Operational,MVNO,Formerly Crazy John's
National,Australia,AU,505,39,Telstra,Telstra Corporation Ltd.,Unknown,Unknown,
National,Australia,AU,505,40,,CITIC Pacific Mining,Unknown,Unknown,
National,Australia,AU,505,41,,Aqura Technologies Pty,Unknown,Unknown,Former OTOC
National,Australia,AU,505,42,GEMCO,Groote Eylandt Mining Company Pty Ltd,Unknown,Unknown,
National,Australia,AU,505,43,,Arrow Energy Pty Ltd,Unknown,Unknown,
National,Australia,AU,505,44,,Roy Hill Iron Ore Pty Ltd,Unknown,Unknown,
National,Australia,AU,505,45,,Clermont Coal Operations Pty Ltd,Unknown,Unknown,
National,Australia,AU,505,46,,AngloGold Ashanti Australia Ltd,Unknown,Unknown,
National,Australia,AU,505,47,,Woodside Energy Limited,Unknown,Unknown,
National,Australia,AU,505,48,,Titan ICT Pty Ltd,Unknown,Unknown,
National,Australia,AU,505,50,,Pivotel Group Pty Limited,Operational,Satellite,
National,Australia,AU,505,61,CommTel NS,Commtel Network Solutions Pty Ltd,Implement / Design,LTE 1800 / LTE 2100,
National,Australia,AU,505,62,NBN,National Broadband Network Co.,Operational,TD-LTE 2300 / TD-LTE 3500,LTE band 40 / 42
National,Australia,AU,505,68,NBN,National Broadband Network Co.,Operational,TD-LTE 2300 / TD-LTE 3500,LTE band 40 / 42
National,Australia,AU,505,71,Telstra,Telstra Corporation Limited,Operational,Unknown,
National,Australia,AU,505,72,Telstra,Telstra Corporation Limited,Operational,Unknown,
National,Australia,AU,505,88,,Pivotel Group Pty Limited,Operational,Satellite,Former Localstar Holding Pty. Ltd.
National,Australia,AU,505,90,Optus,Singtel Optus Proprietary Limited,Operational,Unknown,
National,Australia,AU,505,99,One.Tel,One.Tel,Not operational,GSM 1800,Brand was dissolved. Rail operators purchased 1800 spectrum.
National,Brunei,BN,528,01,TelBru,Telekom Brunei Berhad,Unknown,Unknown,Former Jabatan Telekom Brunei
National,Brunei,BN,528,02,PCSB,Progresif Cellular Sdn Bhd,Operational,UMTS 2100,Former B-Mobile
National,Brunei,BN,528,03,UNN,Unified National Networks Sdn Bhd,Unknown,Unknown,
National,Brunei,BN,528,11,DST,Data Stream Technology Sdn Bhd,Operational,GSM 900 / UMTS 2100 / LTE 1800,
National,Cook Islands (Pacific Ocean),CK,548,01,Bluesky,Telecom Cook Islands,Operational,GSM 900 / UMTS 900 / LTE 700 / LTE 1800,LTE bands 20 / 3
National,East Timor,TL,514,01,Telkomcel,PT Telekomunikasi Indonesia International,Operational,GSM 900 / GSM 1800 / UMTS 850 / LTE,
National,East Timor,TL,514,02,TT,Timor Telecom,Operational,GSM 900 / UMTS / LTE 1800,
National,East Timor,TL,514,03,Telemor,Viettel Timor-Leste,Operational,GSM 900 / GSM 1800 / UMTS / LTE 1800,
National,Fiji,FJ,542,01,Vodafone,Vodafone Fiji,Operational,GSM 900 / UMTS 2100 / LTE 1800,
National,Fiji,FJ,542,02,Digicel,Digicel Fiji,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 700 / LTE 1800 / WiMAX,
National,Fiji,FJ,542,03,TFL,Telecom Fiji Ltd,Operational,CDMA2000 850 / LTE 700,LTE band 28
National,French Polynesia (France),PF,547,05,Ora,VITI,Operational,WiMAX / LTE 800 / LTE 2600,
National,French Polynesia (France),PF,547,10,,Mara Telecom,Not operational,GSM 900,Bankrupt in 2013
National,French Polynesia (France),PF,547,15,Vodafone,Pacific Mobile Telecom,Operational,GSM 900 / UMTS 900 / UMTS 2100,
National,French Polynesia (France),PF,547,20,Vini,Onati S.A.S.,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 2600,
National,Indonesia,ID,510,00,PSN,PT Pasifik Satelit Nusantara (ACeS),Operational,Satellite,
National,Indonesia,ID,510,01,Indosat Ooredoo,PT Indonesian Satellite Corporation Tbk (INDOSAT),Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800,Former PT Satelindo
National,Indonesia,ID,510,03,StarOne,PT Indosat Tbk,Not operational,CDMA 800,Shut down on 30 June 2015
National,Indonesia,ID,510,07,TelkomFlexi,PT Telkom,Not operational,CDMA 800,Network shut down end of 2015
National,Indonesia,ID,510,08,AXIS,PT Natrindo Telepon Seluler,Not operational,GSM 1800 / UMTS 2100,"Merged with XL (MNC 11), MNC 08 no longer used"
National,Indonesia,ID,510,09,Smartfren,PT Smartfren Telecom,Operational,LTE 850 / TD-LTE 2300,"CDMA 1900 shut down December 2016, CDMA 850 shut down November 2017"
National,Indonesia,ID,510,10,Telkomsel,PT Telekomunikasi Selular,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / TD-LTE 2300,
National,Indonesia,ID,510,11,XL,PT XL Axiata Tbk,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800,
National,Indonesia,ID,510,20,TELKOMMobile,PT Telkom Indonesia Tbk,Not operational,GSM 1800,Merged with Telkomsel
National,Indonesia,ID,510,21,IM3,PT Indonesian Satellite Corporation Tbk (INDOSAT),Not operational,GSM 1800,"Merged with Indosat (MNC 01), MNC 21 no longer used"
National,Indonesia,ID,510,27,Net 1,PT Sampoerna Telekomunikasi Indonesia,Operational,LTE 450,Former Ceria; CDMA 450 shut down 2017
National,Indonesia,ID,510,28,Fren/Hepi,PT Mobile-8 Telecom,Operational,LTE 850 / TD-LTE 2300,"Merged with SMART (MNC 09), CDMA 850 shut down November 2017"
National,Indonesia,ID,510,78,Hinet,PT Berca Hardayaperkasa,Operational,TD-LTE 2300,"Denpasar, Pekanbaru and Makassar"
National,Indonesia,ID,510,88,BOLT! 4G LTE,PT Internux,Not operational,TD-LTE 2300,Shut down on 28 December 2018
National,Indonesia,ID,510,89,3,PT Hutchison CP Telecommunications,Operational,GSM 1800 / UMTS 2100 / LTE 1800,
National,Indonesia,ID,510,99,Esia,PT Bakrie Telecom,Not operational,CDMA 800,Merged with Smartfren (MNC 09)
National,Kiribati,KI,545,01,Kiribati - ATH,Amalgamated Telecom Holdings Kiribati Limited,Operational,UMTS 900 / LTE 1800,Former Telecom Services Kiribati Ltd (TSKL)
National,Kiribati,KI,545,02,,OceanLink,Unknown,Unknown,
National,Kiribati,KI,545,09,Kiribati - Frigate Net,Amalgamated Telecom Holdings Kiribati Limited,Operational,GSM 900,
National,Malaysia,MY,502,01,ATUR 450,Telekom Malaysia Bhd,Not operational,CDMA2000 450,
National,Malaysia,MY,502,10,,"Maxis, DiGi, Celcom, XOX",Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2600,Former Celcom
National,Malaysia,MY,502,11,TM Homeline,Telekom Malaysia Bhd,Operational,CDMA2000 850 / LTE 850,
National,Malaysia,MY,502,12,Maxis,Maxis Communications Berhad,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2600,Used by MVNO Kartu As; LTE 2600 in co-operation with REDtone
National,Malaysia,MY,502,13,Celcom,Celcom Axiata Berhad,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,"Former Emartel, TMTouch; LTE 2600 in co-operation with Altel"
National,Malaysia,MY,502,14,,Telekom Malaysia Berhad for PSTN SMS,Unknown,,
National,Malaysia,MY,502,150,Tune Talk,Tune Talk Sdn Bhd,Operational,MVNO,uses Celcom
National,Malaysia,MY,502,151,SalamFone,Baraka Telecom Sdn Bhd,Not operational,MVNO,"(MVNO)-MAXIS, previously using DiGi; MNC withdrawn"
National,Malaysia,MY,502,152,Yes,YTL Communications Sdn Bhd,Operational,WiMAX 2300 / TD-LTE 2300 / TD-LTE 2600,
National,Malaysia,MY,502,153,unifi,Webe Digital Sdn Bhd,Operational,WiMAX 2300 / LTE 850 / TD-LTE 2300,Former Packet One Networks; subsidiary of Telekom Malaysia
National,Malaysia,MY,502,154,Tron,Talk Focus Sdn Bhd,Operational,MVNO,Uses Digi
National,Malaysia,MY,502,155,Clixster,Clixster Mobile Sdn Bhd,Not operational,MVNO,Uses Digi; MNC withdrawn
National,Malaysia,MY,502,156,Altel,Altel Communications Sdn Bhd,Operational,MVNO,Using Celcom; LTE 2600 band licensed to Celcom
National,Malaysia,MY,502,157,Telin,Telekomunikasi Indonesia International (M) Sdn Bhd,Operational,MVNO,Uses U Mobile
National,Malaysia,MY,502,16,DiGi,DiGi Telecommunications,Operational,GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2600,LTE 2600 coverage limited to certain areas in the Klang Valley at the moment; former Mutiara Telecom
National,Malaysia,MY,502,17,Maxis,Maxis Communications Berhad,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 2600,"Former TimeCel, Adam017"
National,Malaysia,MY,502,18,U Mobile,U Mobile Sdn Bhd,Operational,UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2600,"Domestic Roaming with Maxis, also for GSM Former Mobikom"
National,Malaysia,MY,502,19,Celcom,Celcom Axiata Berhad,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 2600,
National,Malaysia,MY,502,20,Electcoms,Electcoms Berhad,Not operational,DMR,MNC withdrawn
National,Marshall Islands,MH,551,01,,Marshall Islands National Telecommunications Authority (MINTA),Operational,GSM 900 / GSM 1800 / LTE 700,
National,Federated States of Micronesia,FM,550,01,,FSMTC,Operational,GSM 900 / LTE 1800,
National,Nauru,NR,536,02,Digicel,Digicel (Nauru) Corporation,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,Also uses MCC 542 MNC 02 (Fiji)
National,New Caledonia (France),NC,546,01,Mobilis,OPT New Caledonia,Operational,GSM 900 / UMTS 900 / LTE 800 / LTE 1800 / LTE 2600,
National,New Zealand,NZ,530,00,Telecom,Telecom New Zealand,Not operational,AMPS 800 / TDMA 800,Shut down on 31 March 2007
National,New Zealand,NZ,530,01,Vodafone,Vodafone New Zealand,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 700 / LTE 1800 / LTE 2600 / 5G 3500,"UMTS 2100 is used in urban areas. UMTS 900 is referred to as ""3G extended"" and used in rural areas."
National,New Zealand,NZ,530,02,Telecom,Telecom New Zealand,Not operational,CDMA2000 800,Shut down on 31 July 2012
National,New Zealand,NZ,530,03,Woosh,Woosh Wireless,Operational,UMTS-TDD 2000,Former Walker Wireless; wireless broadband only
National,New Zealand,NZ,530,04,Vodafone,TelstraClear New Zealand,Not operational,UMTS 2100,Former TelstraClear
National,New Zealand,NZ,530,05,Spark,Spark New Zealand,Operational,UMTS 850 / UMTS 2100 / LTE 700 / LTE 1800 / TD-LTE 2300 / LTE 2600 / 5G 2600,"Formerly Telecom New Zealand, Xtra"
National,New Zealand,NZ,530,06,Skinny,Spark New Zealand,Operational,MVNO,
National,New Zealand,NZ,530,07,,Bluereach Limited,Unknown,Unknown,
National,New Zealand,NZ,530,24,2degrees,2degrees,Operational,UMTS 900 / UMTS 2100 / LTE 700 / LTE 900 / LTE 1800,GSM shut down in March 2018
National,Niue,NU,555,01,Telecom Niue,Telecom Niue,Operational,GSM 900 / LTE 700,
National,Norfolk Island,NF,505,10,Norfolk Telecom,Norfolk Telecom,Operational,GSM 900 / LTE 1800,
National,Palau,PW,552,01,PNCC,Palau National Communications Corp.,Operational,GSM 900 / UMTS 900 / LTE 700,
National,Palau,PW,552,02,PT Waves,Palau Equipment Company Inc.,Operational,GSM 900,
National,Palau,PW,552,80,Palau Mobile,Palau Mobile Corporation,Not operational,GSM 1800,Service shutdown in 2014
National,Palau,PW,552,99,PMCI,Palau Mobile Communications Inc.,Operational,LTE,
National,Papua New Guinea,PG,537,01,bmobile,Bemobile Limited,Operational,GSM 900 / UMTS 900,
National,Papua New Guinea,PG,537,02,citifon,Telikom PNG Ltd.,Operational,CDMA2000 450 / LTE 700,Formerly Greencom; LTE band 28
National,Papua New Guinea,PG,537,03,Digicel,Digicel PNG,Operational,GSM 900 / UMTS 900 / LTE 700,LTE band 28
National,Philippines,PH,515,01,Islacom,Globe Telecom via Innove Communications,Not operational,GSM 900,
National,Philippines,PH,515,02,Globe,Globe Telecom,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 700 / LTE 1800 / TD-LTE 2500 / 5G 3500,
National,Philippines,PH,515,03,SMART,PLDT via Smart Communications,Operational,GSM 900 / GSM 1800 / UMTS 850 / UMTS 2100 / LTE 700 / LTE 850 / LTE 1800 / LTE 2100 / TD-LTE 2300 / TD-LTE 2500,Formerly PilTel
National,Philippines,PH,515,05,Sun Cellular,Digital Telecommunications Philippines,Operational,GSM 1800 / UMTS 2100,Uses SMART for LTE roaming
National,Philippines,PH,515,11,,PLDT via ACeS Philippines,Unknown,Unknown,
National,Philippines,PH,515,18,Cure,PLDT via Smart's Connectivity Unlimited Resources Enterprise,Not operational,GSM 900 / UMTS 2100,"Formerly ümobile, then Red Mobile; shut down 2012"
National,Philippines,PH,515,24,ABS-CBN Mobile,ABS-CBN Convergence with Globe Telecom,Operational,MVNO,
National,Philippines,PH,515,88,,Next Mobile Inc.,Operational,iDEN,Former Nextel Philippines
National,Samoa,WS,549,00,Digicel,Digicel Pacific Ltd.,Unknown,Unknown,
National,Samoa,WS,549,01,Digicel,Digicel Pacific Ltd.,Operational,GSM 900 / UMTS 2100 / LTE 1800,Former Telecom Samoa Cellular Ltd.
National,Samoa,WS,549,27,Bluesky,Bluesky Samoa Ltd,Operational,GSM 900 / LTE 700 / LTE 1800,Former Samoatel Ltd.
National,Singapore,SG,525,01,SingTel,Singapore Telecom,Operational,UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2600,GSM shut down on 1 April 2017
National,Singapore,SG,525,02,SingTel-G18,Singapore Telecom,Not operational,GSM 1800,GSM shut down on 1 April 2017
National,Singapore,SG,525,03,M1,M1 Limited,Operational,UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2600,GSM shut down on 1 April 2017
National,Singapore,SG,525,05,StarHub,StarHub Mobile,Operational,UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2100 / LTE 2600 / TD-LTE 2500,GSM shut down on 1 April 2017
National,Singapore,SG,525,06,StarHub,StarHub Mobile,Unknown,Unknown,
National,Singapore,SG,525,07,SingTel,Singapore Telecom,Unknown,Unknown,
National,Singapore,SG,525,08,StarHub,StarHub Mobile,Unknown,Unknown,
National,Singapore,SG,525,09,Circles.Life,Liberty Wireless Pte Ltd,Operational,MVNO,
National,Singapore,SG,525,10,,TPG Telecom Pte Ltd,Operational,LTE 900 / TD-LTE 2300 / TD-LTE 2500,
National,Singapore,SG,525,11,M1,M1 Limited,Unknown,Unknown,
National,Singapore,SG,525,12,Grid,GRID Communications Pte Ltd.,Operational,iDEN 800,Digital Trunked Radio Network
National,Solomon Islands,SB,540,01,BREEZE,Our Telekom,Operational,GSM 900 / UMTS 850 / UMTS 2100 / LTE 700 / LTE 1800,Former Solomon Telekom Co Ltd
National,Solomon Islands,SB,540,02,BeMobile,BMobile (SI) Ltd,Operational,GSM 900 / GSM 1800 / UMTS 2100,
National,Thailand,TH,520,00,TrueMove H / my by CAT,CAT Telecom,Operational,UMTS 850,Former Hutch Thailand; inbound roaming for TrueMove H
National,Thailand,TH,520,01,AIS,Advanced Info Service,Not operational,GSM 900 / UMTS 900,UMTS 900 shut down in 2013; GSM 900 shut down in October 2019
National,Thailand,TH,520,02,CAT CDMA,CAT Telecom,Not operational,CDMA 800,Shut down in April 2013; frequency re-farmed for UMTS 850 network 520-00
National,Thailand,TH,520,03,AIS,Advanced Wireless Network Company Ltd.,Operational,UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / 5G 2500,
National,Thailand,TH,520,04,TrueMove H,True Move H Universal Communication Company Ltd.,Operational,UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / 5G 2500,UMTS roaming with network 520-00
National,Thailand,TH,520,05,dtac TriNet / LINE,DTAC TriNet Company Ltd.,Operational,UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2100,LTE 2300 roaming with 520-47
National,Thailand,TH,520,09,,Royal Thai Police,Operational,LTE 850,LTE band 26
National,Thailand,TH,520,15,AIS-T / TOT Mobile,TOT Public Company Limited,Operational,UMTS 2100,"Former Thaimobile 1900, ACT Mobile"
National,Thailand,TH,520,18,dtac,Total Access Communications Public Company Ltd.,Not operational,GSM 1800,Shut down in October 2019
National,Thailand,TH,520,20,ACeS,ACeS,Unknown,Satellite,
National,Thailand,TH,520,23,AIS GSM 1800,Digital Phone Company Ltd.,Not operational,GSM 1800,Owned by AIS; network shut down in October 2019
National,Thailand,TH,520,25,WE PCT,True Corporation,Not operational,PHS 1900,In Bangkok area
National,Thailand,TH,520,47,dtac-T / LINE / TOT Mobile,TOT Public Company Limited,Operational,TD-LTE 2300,LTE band 40
National,Thailand,TH,520,99,TrueMove,True Corporation,Not operational,GSM 1800,Shut down in October 2019
National,Tokelau,TK,554,01,,Teletok,Operational,LTE 700,
National,Tonga,TO,539,01,U-Call,Tonga Communications Corporation,Operational,GSM 900 / UMTS 900 / LTE,
National,Tonga,TO,539,43,,Shoreline Communication,Operational,Unknown,
National,Tonga,TO,539,88,Digicel,Digicel (Tonga) Limited,Operational,GSM 900 / LTE 1800,Former TonFon
National,Tuvalu,TV,553,01,TTC,Tuvalu Telecom,Operational,UMTS 900 / LTE 850,GSM shutdown in 2015
National,Vanuatu,VU,541,00,AIL,ACeS International (AIL),Operational,GSM 900,
National,Vanuatu,VU,541,01,SMILE,Telecom Vanuatu Ltd,Operational,GSM 900 / LTE 700,LTE band 28
National,Vanuatu,VU,541,05,Digicel,Digicel Vanuatu Ltd,Operational,GSM 900 / UMTS 900 / LTE 700,LTE band 28
National,Vanuatu,VU,541,07,WanTok,WanTok Vanuatu Ltd,Operational,TD-LTE 2300,LTE band 40
National,Wallis and Futuna,WF,543,01,Manuia,Service des Postes et Télécommunications des Îles Wallis et Futuna (SPT),Operational,UMTS 900 / LTE,
National,Algeria,DZ,603,01,Mobilis,Algérie Télécom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,
National,Algeria,DZ,603,02,Djezzy,Optimum Telecom Algérie Spa,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,Former Orascom Telecom
National,Algeria,DZ,603,03,Ooredoo,Wataniya Telecom Algérie,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,Former Nedjma
National,Algeria,DZ,603,07,AT,Algérie Télécom,Operational,CDMA 1900,Wireless Local Loop
National,Algeria,DZ,603,09,AT,Algérie Télécom,Operational,LTE,Fixed Wireless Broadband
National,Algeria,DZ,603,21,ANESRIF,Anesrif,Ongoing,GSM-R,
National,Angola,AO,631,02,UNITEL,UNITEL S.a.r.l.,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,
National,Angola,AO,631,04,MOVICEL,MOVICEL Telecommunications S.A.,Operational,GSM 900 / GSM 1800 / UMTS 900 / LTE 1800,CDMA shut down March 2016
National,Benin,BJ,616,01,Libercom,Benin Telecoms Mobile,Operational,GSM 900 / GSM 1800 / LTE 1800 / CDMA / WiMAX,"Brands are Libercom (GSM), be.Telecoms (LTE), Kanakoo (CDMA / WiMAX)"
National,Benin,BJ,616,02,Moov,Telecel Benin,Operational,GSM 900 / UMTS 2100,EtiSalat / Atlantique Telecom / Moov
National,Benin,BJ,616,03,MTN,Spacetel Benin,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800,"Former BeninCell, Areeba"
National,Benin,BJ,616,04,BBCOM,Bell Benin Communications,Operational,GSM 900 / GSM 1800,
National,Benin,BJ,616,05,Glo,Glo Communication Benin,Not operational,GSM 900 / GSM 1800,Licence revoked in 2017
National,Botswana,BW,652,01,Mascom,Mascom Wireless (Pty) Limited,Operational,GSM 900 / UMTS 2100 / LTE 1800,
National,Botswana,BW,652,02,Orange,Orange (Botswana) Pty Limited,Operational,GSM 900 / UMTS 2100 / LTE 1800,formerly Vista Cellular
National,Botswana,BW,652,04,beMobile,Botswana Telecommunications Corporation,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,
National,Burkina Faso,BF,613,01,Telmob,Onatel,Operational,GSM 900 / UMTS 2100 / LTE 1800,
National,Burkina Faso,BF,613,02,Orange,Orange Burkina Faso,Operational,GSM 900 / UMTS 2100 / LTE 1800,"Previously Zain/Celtel, Airtel"
National,Burkina Faso,BF,613,03,Telecel Faso,Telecel Faso SA,Operational,GSM 900,
National,Burundi,BI,642,01,econet Leo,Econet Wireless Burundi PLC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,Former Spacetel
National,Burundi,BI,642,02,Tempo,VTEL MEA,Not operational,GSM 900,Former Safaris. Not related to Africell Suspended in 2015
National,Burundi,BI,642,03,Onatel,Onatel,Operational,GSM 900,
National,Burundi,BI,642,07,Smart Mobile,LACELL SU,Operational,GSM 1800 / UMTS 2100,
National,Burundi,BI,642,08,Lumitel,Viettel Burundi,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800,Formerly HiTs Telecom
National,Burundi,BI,642,82,econet Leo,Econet Wireless Burundi PLC,Operational,GSM 900 / GSM 1800 / UMTS 2100,"Formerly Telecel, then U-COM Burundi"
National,Cameroon,CM,624,01,MTN Cameroon,Mobile Telephone Network Cameroon Ltd,Operational,GSM 900 / UMTS 2100 / TD-LTE 2500,
National,Cameroon,CM,624,02,Orange,Orange Cameroun S.A.,Operational,GSM 900 / UMTS 2100 / LTE 1800,
National,Cameroon,CM,624,03,Camtel,Camtel,Operational,CDMA / LTE 1800,
National,Cameroon,CM,624,04,Nexttel,Viettel Cameroun,Operational,GSM 900 / GSM 1800 / UMTS 2100,
National,Cape Verde,CV,625,01,CVMOVEL,"CVMóvel, S.A.",Operational,GSM 900 / UMTS 2100 / LTE 800,
National,Cape Verde,CV,625,02,T+,"UNITEL T+ TELECOMUNICACÕES, S.A.",Operational,GSM 1800 / UMTS 2100,
National,Central African Republic,CF,623,01,Moov,Atlantique Telecom Centrafrique SA,Operational,GSM 900,"Former Centrafrique Telecom Plus, Etisalat"
National,Central African Republic,CF,623,02,TC,Telecel Centrafrique,Operational,GSM 900 / UMTS 2100,
National,Central African Republic,CF,623,03,Orange,Orange RCA,Operational,GSM 900 / GSM 1800 / UMTS 2100 / WiMAX,
National,Central African Republic,CF,623,04,Azur,Azur RCA,Operational,GSM 900 / UMTS 2100,Former Nationlink Telecom RCA
National,Chad,TD,622,01,Airtel,Bharti Airtel SA,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 1800,
National,Chad,TD,622,02,Tawali,SotelTchad,Operational,CDMA2000,semi-fixed line; formerly Tchad Mobile / Orascom Telecom GSM 900 - defunct in 2004
National,Chad,TD,622,03,Tigo,Millicom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 2600,
National,Chad,TD,622,07,Salam,SotelTchad,Operational,GSM 900 / GSM 1800,
National,Comoros,KM,654,01,HURI,Comores Telecom,Operational,GSM 900 / UMTS 900,
